,text,labels
0,The local guides know the best routes to summit Dhaulagiri.,O O O O O O O O O O
1,I plan to climb Kangchenjunga next summer.,O O O O B-Mountain O O
2,Mont Blanc is a popular destination for adventurous travelers.,B-Mountain I-Mountain O O O O O O O
3,Aconcagua is a difficult peak to climb due to its technical demands.,B-Mountain O O O O O O O O O O O
4,Several teams have attempted to climb Mount Elbrus this season.,O O O O O O B-Mountain I-Mountain O O
5,There are multiple routes to the summit of Lhotse.,O O O O O O O O O
6,Denali is part of the Seven Summits challenge.,B-Mountain O O O O O O O
7,I plan to climb Lhotse next summer.,O O O O B-Mountain O O
8,Reaching the summit of Lhotse is a dream for many climbers.,O O O O B-Mountain O O O O O O
9,The landscape around Mount Elbrus is truly breathtaking.,O O O B-Mountain I-Mountain O O O
10,The summit of Denali is covered in snow all year round.,O O O B-Mountain O O O O O O O
11,The glaciers of Mont Blanc are stunning.,O O O B-Mountain I-Mountain O O
12,The local guides know the best routes to summit Manaslu.,O O O O O O O O O O
13,Cho Oyu is one of the tallest peaks in the world.,B-Mountain I-Mountain O O O O O O O O O
14,Photographers love capturing the beauty of Denali.,O O O O O O O
15,Mountaineers often face severe weather conditions on Mont Blanc.,O O O O O O O B-Mountain O
16,"During the summer, we will try to summit K2.",O O O O O O O O O
17,The base camp of Mount Elbrus attracts adventurers from all over the world.,O O O O B-Mountain I-Mountain O O O O O O O
18,There are multiple routes to the summit of Dhaulagiri.,O O O O O O O O O
19,Mount Fuji offers stunning panoramic views from its summit.,B-Mountain I-Mountain O O O O O O O
20,Denali is part of the Seven Summits challenge.,B-Mountain O O O O O O O
21,The landscape around Cho Oyu is truly breathtaking.,O O O B-Mountain I-Mountain O O O
22,I plan to climb Mont Blanc next summer.,O O O O B-Mountain I-Mountain O O
23,Many mountaineers attempt to conquer Lhotse every year.,O O O O O B-Mountain O O
24,Hiking around Makalu is an unforgettable experience.,O O B-Mountain O O O O
25,"After months of training, I’m finally ready to climb Mount Everest.",O O O O O O O O O B-Mountain O
26,"During the summer, we will try to summit Cho Oyu.",O O O O O O O O B-Mountain O
27,The summit of K2 is covered in snow all year round.,O O O B-Mountain O O O O O O O
28,Standing on top of Mount Fuji feels like being on top of the world.,O O O O B-Mountain I-Mountain O O O O O O O O
29,Do you know the history of expeditions to Mount Fuji?,O O O O O O O O B-Mountain O
30,The altitude of Kangchenjunga poses a significant challenge.,O O O B-Mountain O O O O
31,The local guides know the best routes to summit Manaslu.,O O O O O O O O O O
32,I read an article about a recent expedition to Mount Kilimanjaro.,O O O O O O O O O B-Mountain O
33,Mount Elbrus stands as one of the most iconic peaks in the world.,B-Mountain I-Mountain O O O O O O O O O O O
34,The weather near Denali can change rapidly.,O O O B-Mountain O O O
35,Dhaulagiri has always been on my bucket list.,B-Mountain O O O O O O O
36,The summit of Dhaulagiri is covered in snow all year round.,O O O B-Mountain O O O O O O O
37,We visited the base camp of Mount Everest.,O O O O O O B-Mountain O
38,Climbers often talk about the challenges of scaling Manaslu.,O O O O O O O O O
39,Hiking around Manaslu is an unforgettable experience.,O O B-Mountain O O O O
40,Manaslu is known for its incredible views.,B-Mountain O O O O O O
41,The ascent of Makalu is both mentally and physically demanding.,O O O B-Mountain O O O O O O
42,Aconcagua is a popular destination for adventurous travelers.,B-Mountain O O O O O O O
43,Reaching the summit of Denali is a dream for many climbers.,O O O O B-Mountain O O O O O O
44,Dhaulagiri is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
45,Climbers usually spend weeks acclimatizing before attempting Dhaulagiri.,O O O O O O O O
46,Mount Elbrus is known for its incredible views.,B-Mountain I-Mountain O O O O O O
47,Photographers love capturing the beauty of Mount Elbrus.,O O O O O O B-Mountain O
48,Lhotse is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
49,Several expeditions to Mount Elbrus have been successful this year.,O O O B-Mountain I-Mountain O O O O O
50,Aconcagua is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
51,Manaslu is known for its incredible views.,B-Mountain O O O O O O
52,Mount Elbrus is known for its long and dangerous ascent.,B-Mountain I-Mountain O O O O O O O O
53,The glaciers of Mont Blanc are stunning.,O O O B-Mountain I-Mountain O O
54,There are strict environmental regulations around Annapurna.,O O O O O O O
55,The locals have a rich history of guiding climbers to the top of Denali.,O O O O O O O O O O O O O O
56,Lhotse is a popular destination for adventurous travelers.,B-Mountain O O O O O O O
57,Climbers usually spend weeks acclimatizing before attempting Denali.,O O O O O O O O
58,The glaciers of K2 are stunning.,O O O B-Mountain O O
59,We visited the base camp of Lhotse.,O O O O O O O
60,Have you ever been to Mount Fuji?,O O O O O B-Mountain O
61,Mount Everest is a difficult peak to climb due to its technical demands.,B-Mountain I-Mountain O O O O O O O O O O O
62,Several teams have attempted to climb Makalu this season.,O O O O O O B-Mountain O O
63,Several expeditions to Denali have been successful this year.,O O O B-Mountain O O O O O
64,I plan to climb Mount Everest next summer.,O O O O B-Mountain I-Mountain O O
65,Hiking around Mount Everest is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
66,We visited the base camp of Aconcagua.,O O O O O O O
67,"During the summer, we will try to summit Mount Fuji.",O O O O O O O O B-Mountain O
68,There are multiple routes to the summit of Mount Fuji.,O O O O O O O O B-Mountain O
69,Several expeditions to Cho Oyu have been successful this year.,O O O B-Mountain I-Mountain O O O O O
70,I hope to reach the top of Lhotse one day.,O O O O O O O B-Mountain O O
71,The summit of Manaslu is covered in snow all year round.,O O O B-Mountain O O O O O O O
72,There are strict environmental regulations around Mount Everest.,O O O O O O B-Mountain O
73,There are strict environmental regulations around Mont Blanc.,O O O O O O B-Mountain O
74,Reaching the summit of Mount Elbrus is a dream for many climbers.,O O O O B-Mountain I-Mountain O O O O O O
75,Annapurna is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
76,Have you ever been to Mont Blanc?,O O O O O B-Mountain O
77,Aconcagua is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
78,Annapurna is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
79,Photographers love capturing the beauty of Makalu.,O O O O O O O
80,Hiking around Mont Blanc is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
81,The landscape around Lhotse is truly breathtaking.,O O O B-Mountain O O O
82,I met a group who had just returned from their climb of Denali.,O O O O O O O O O O O O O
83,Cho Oyu is part of the Seven Summits challenge.,B-Mountain I-Mountain O O O O O O O
84,I hope to reach the top of Mount Kilimanjaro one day.,O O O O O O O B-Mountain I-Mountain O O
